Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,Brazil,South Brazil,BR-S,109.69,151.55,80.92,77.47,ons.org.br
2022-01-02 00:00:00,Brazil,South Brazil,BR-S,98.94,138.93,82.79,79.50,ons.org.br
2022-01-03 00:00:00,Brazil,South Brazil,BR-S,96.10,136.25,83.28,80.81,ons.org.br
2022-01-04 00:00:00,Brazil,South Brazil,BR-S,108.49,150.66,81.13,78.87,ons.org.br
2022-01-05 00:00:00,Brazil,South Brazil,BR-S,99.03,139.05,82.78,80.55,ons.org.br
2022-01-06 00:00:00,Brazil,South Brazil,BR-S,101.62,142.60,82.22,79.96,ons.org.br
2022-01-07 00:00:00,Brazil,South Brazil,BR-S,112.35,155.03,80.46,78.03,ons.org.br
2022-01-08 00:00:00,Brazil,South Brazil,BR-S,94.82,133.88,83.51,80.68,ons.org.br
2022-01-09 00:00:00,Brazil,South Brazil,BR-S,95.49,134.15,83.39,80.41,ons.org.br
2022-01-10 00:00:00,Brazil,South Brazil,BR-S,104.56,145.83,81.82,79.24,ons.org.br
2022-01-11 00:00:00,Brazil,South Brazil,BR-S,118.70,162.83,79.36,76.98,ons.org.br
2022-01-12 00:00:00,Brazil,South Brazil,BR-S,113.18,156.39,80.32,78.11,ons.org.br
2022-01-13 00:00:00,Brazil,South Brazil,BR-S,110.53,153.01,80.78,78.83,ons.org.br
2022-01-14 00:00:00,Brazil,South Brazil,BR-S,103.98,145.27,81.92,80.06,ons.org.br
2022-01-15 00:00:00,Brazil,South Brazil,BR-S,108.32,150.47,81.16,78.81,ons.org.br
2022-01-16 00:00:00,Brazil,South Brazil,BR-S,118.18,161.91,79.45,76.95,ons.org.br; Electricity Maps Estimation
2022-01-17 00:00:00,Brazil,South Brazil,BR-S,106.40,148.58,81.36,79.53,ons.org.br
2022-01-18 00:00:00,Brazil,South Brazil,BR-S,108.60,151.21,80.78,79.33,ons.org.br
2022-01-19 00:00:00,Brazil,South Brazil,BR-S,115.17,158.64,79.82,79.09,ons.org.br; Electricity Maps Estimation
2022-01-20 00:00:00,Brazil,South Brazil,BR-S,110.70,153.67,80.58,78.90,ons.org.br
2022-01-21 00:00:00,Brazil,South Brazil,BR-S,100.80,141.37,82.47,81.11,ons.org.br
2022-01-22 00:00:00,Brazil,South Brazil,BR-S,127.27,172.76,77.87,75.82,ons.org.br
2022-01-23 00:00:00,Brazil,South Brazil,BR-S,126.16,171.63,78.06,75.57,ons.org.br
2022-01-24 00:00:00,Brazil,South Brazil,BR-S,91.53,131.26,84.08,82.56,ons.org.br
2022-01-25 00:00:00,Brazil,South Brazil,BR-S,96.46,136.87,83.22,81.70,ons.org.br
2022-01-26 00:00:00,Brazil,South Brazil,BR-S,101.38,142.53,82.37,80.83,ons.org.br
2022-01-27 00:00:00,Brazil,South Brazil,BR-S,106.58,148.16,81.46,80.03,ons.org.br
2022-01-28 00:00:00,Brazil,South Brazil,BR-S,121.74,166.43,78.83,77.22,ons.org.br
2022-01-29 00:00:00,Brazil,South Brazil,BR-S,135.36,182.35,76.46,73.97,ons.org.br
2022-01-30 00:00:00,Brazil,South Brazil,BR-S,114.05,156.55,80.17,77.25,ons.org.br
2022-01-31 00:00:00,Brazil,South Brazil,BR-S,99.41,139.57,82.71,80.35,ons.org.br
2022-02-01 00:00:00,Brazil,South Brazil,BR-S,111.20,154.17,80.66,78.51,ons.org.br
2022-02-02 00:00:00,Brazil,South Brazil,BR-S,103.92,145.19,81.93,79.91,ons.org.br
2022-02-03 00:00:00,Brazil,South Brazil,BR-S,94.50,134.07,83.57,81.64,ons.org.br
2022-02-04 00:00:00,Brazil,South Brazil,BR-S,80.80,118.43,85.95,83.99,ons.org.br
2022-02-05 00:00:00,Brazil,South Brazil,BR-S,87.43,126.14,84.79,82.38,ons.org.br
