Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO¸Z£Æq/kWh (direct),Carbon Intensity gCO¸Z£Æq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2024/1/1 0:00,Brazil,Brazil,BR,61.54,97.4,89.3,86.12,
2024/1/2 0:00,Brazil,Brazil,BR,54,88.38,90.61,87.86,
2024/1/3 0:00,Brazil,Brazil,BR,51.12,84.7,91.11,88.5,
2024/1/4 0:00,Brazil,Brazil,BR,50.64,84.19,91.19,88.6,
2024/1/5 0:00,Brazil,Brazil,BR,47.04,79.94,91.82,89.21,
2024/1/6 0:00,Brazil,Brazil,BR,34.52,65.16,94,91.27,
2024/1/7 0:00,Brazil,Brazil,BR,38.48,70.12,93.31,90.4,
2024/1/8 0:00,Brazil,Brazil,BR,46.49,79.56,91.92,89.39,
2024/1/9 0:00,Brazil,Brazil,BR,56.4,90.95,90.19,87.78,
2024/1/10 0:00,Brazil,Brazil,BR,58.16,92.54,89.89,87.48,
2024/1/11 0:00,Brazil,Brazil,BR,58.04,92.44,89.91,87.5,
2024/1/12 0:00,Brazil,Brazil,BR,52.98,86.75,90.79,88.27,
2024/1/13 0:00,Brazil,Brazil,BR,44.69,76.96,92.23,89.75,
2024/1/14 0:00,Brazil,Brazil,BR,39.72,71.21,93.09,90.6,
2024/1/15 0:00,Brazil,Brazil,BR,32.91,62.85,94.28,91.86,
2024/1/16 0:00,Brazil,Brazil,BR,30.77,60.18,94.65,92.57,
2024/1/17 0:00,Brazil,Brazil,BR,36.58,67.09,93.64,91.99,
2024/1/18 0:00,Brazil,Brazil,BR,46.62,79.28,91.89,89.73,
2024/1/19 0:00,Brazil,Brazil,BR,47.6,80.57,91.72,89.39,
2024/1/20 0:00,Brazil,Brazil,BR,45.96,78.85,92.01,89.56,
2024/1/21 0:00,Brazil,Brazil,BR,46.16,79.25,91.97,89.25,
2024/1/22 0:00,Brazil,Brazil,BR,43.75,76.21,92.39,89.94,
2024/1/23 0:00,Brazil,Brazil,BR,47.79,80.44,91.69,89.08,
2024/1/24 0:00,Brazil,Brazil,BR,47.51,80.29,91.74,89.08,
2024/1/25 0:00,Brazil,Brazil,BR,36.61,67.76,93.63,91.16,
2024/1/26 0:00,Brazil,Brazil,BR,32.07,62.28,94.42,91.89,
2024/1/27 0:00,Brazil,Brazil,BR,35.74,66.34,93.79,91.09,
2024/1/28 0:00,Brazil,Brazil,BR,37.09,68.06,93.55,90.63,
2024/1/29 0:00,Brazil,Brazil,BR,37.32,68.4,93.51,90.99,
2024/1/30 0:00,Brazil,Brazil,BR,37.98,69.44,93.39,91.03,
2024/1/31 0:00,Brazil,Brazil,BR,36.89,67.98,93.59,91.27,
2024/2/1 0:00,Brazil,Brazil,BR,39.28,70.08,93.17,90.8,
2024/2/2 0:00,Brazil,Brazil,BR,39.88,70.59,93.06,90.69,
2024/2/3 0:00,Brazil,Brazil,BR,41.58,72.36,92.77,90.28,
2024/2/4 0:00,Brazil,Brazil,BR,44.82,75.64,92.2,89.49,
2024/2/5 0:00,Brazil,Brazil,BR,37.37,67.36,93.5,91.13,
2024/2/6 0:00,Brazil,Brazil,BR,36.98,67.48,93.57,91.31,
2024/2/7 0:00,Brazil,Brazil,BR,37.29,67.81,93.51,91.3,
2024/2/8 0:00,Brazil,Brazil,BR,37.66,68.27,93.45,91.24,
2024/2/9 0:00,Brazil,Brazil,BR,37.18,67.73,93.53,91.32,
2024/2/10 0:00,Brazil,Brazil,BR,33.19,62.89,94.23,91.8,
2024/2/11 0:00,Brazil,Brazil,BR,33.18,62.65,94.23,91.56,
2024/2/12 0:00,Brazil,Brazil,BR,30.52,59.53,94.69,92.23,
2024/2/13 0:00,Brazil,Brazil,BR,33.11,62.87,94.24,91.81,
2024/2/14 0:00,Brazil,Brazil,BR,31.32,61.5,94.55,92.19,
2024/2/15 0:00,Brazil,Brazil,BR,35.34,66.21,93.85,91.35,
2024/2/16 0:00,Brazil,Brazil,BR,36.45,67.37,93.66,91.1,
2024/2/17 0:00,Brazil,Brazil,BR,33.45,64.28,94.18,91.6,
2024/2/18 0:00,Brazil,Brazil,BR,33.77,64.3,94.12,91.35,
2024/2/19 0:00,Brazil,Brazil,BR,27.14,56.56,95.28,92.85,
2024/2/20 0:00,Brazil,Brazil,BR,26.03,55.48,95.47,93.07,
2024/2/21 0:00,Brazil,Brazil,BR,29.8,59.87,94.82,92.39,
2024/2/22 0:00,Brazil,Brazil,BR,32.93,63.72,94.27,91.87,
2024/2/23 0:00,Brazil,Brazil,BR,31.21,61.56,94.57,92.24,
2024/2/24 0:00,Brazil,Brazil,BR,32.46,62.48,94.35,91.92,
2024/2/25 0:00,Brazil,Brazil,BR,35.1,65.06,93.9,91.29,
2024/2/26 0:00,Brazil,Brazil,BR,30.99,60.4,94.61,92.26,
2024/2/27 0:00,Brazil,Brazil,BR,29.18,58.68,94.93,92.65,
2024/2/28 0:00,Brazil,Brazil,BR,28.57,58.56,95.03,92.8,
2024/2/29 0:00,Brazil,Brazil,BR,29.02,59.5,94.95,92.81,
2024/3/1 0:00,Brazil,Brazil,BR,28.32,58.75,95.08,92.87,
2024/3/2 0:00,Brazil,Brazil,BR,32.81,64.18,94.29,91.86,
2024/3/3 0:00,Brazil,Brazil,BR,34.5,65.89,94,91.34,
2024/3/4 0:00,Brazil,Brazil,BR,33.38,64.23,94.19,91.79,
